transaction_id,customer_id,product_id,store_id,quantity,date,selling_price,revenue
1,1190,230,37,1,22-10-2024,261,261
2,688,444,88,4,06-03-2025,106,424
3,4662,136,82,3,24-12-2024,184,552
4,1208,480,37,1,15-01-2024,327,327
5,1895,228,25,4,06-01-2025,326,1304
6,4923,357,80,4,15-09-2023,493,1972
7,1812,222,25,3,12-12-2024,232,696
8,3184,243,61,4,11-05-2025,341,1364
9,3798,496,63,4,05-03-2025,595,2380
10,1645,23,45,1,21-05-2025,228,228
11,3969,235,59,1,19-09-2023,177,177
12,2717,327,10,2,12-03-2025,475,950
13,191,150,38,3,18-12-2023,383,1149
14,1336,36,44,2,27-07-2024,551,1102
15,4804,167,35,4,08-01-2025,280,1120
16,3107,92,18,3,04-03-2025,341,1023
17,379,460,25,2,26-03-2025,312,624
18,4483,451,93,2,06-10-2023,368,736
19,3830,365,35,1,24-11-2024,389,389
20,616,38,76,2,16-07-2023,406,812
21,2331,300,71,1,26-09-2023,208,208
22,1755,420,52,4,23-11-2024,234,936
23,464,149,24,3,20-09-2024,278,834
24,967,278,37,2,04-02-2024,316,632
25,4268,407,89,4,16-01-2025,94,376
26,3159,254,19,2,06-02-2024,455,910
27,3625,391,35,2,03-02-2024,209,418
28,4939,263,46,3,06-09-2023,429,1287
29,690,21,96,4,26-04-2024,292,1168
30,2623,172,53,2,16-11-2024,198,396
31,2213,334,54,3,06-10-2023,448,1344
32,383,298,51,3,19-06-2025,525,1575
33,2257,135,75,1,15-04-2025,349,349
34,3811,69,84,2,30-10-2024,192,384
35,3504,357,57,2,16-12-2024,493,986
36,1413,147,56,4,24-04-2025,94,376
37,1584,89,7,3,07-04-2024,171,513
38,372,396,79,4,16-08-2024,469,1876
39,611,9,83,2,26-07-2023,537,1074
40,116,385,49,3,25-11-2023,292,876
41,447,52,26,2,27-11-2024,630,1260
42,1392,171,84,4,01-03-2024,472,1888
43,3325,349,35,3,01-01-2024,504,1512
44,1341,235,88,1,03-10-2023,177,177
45,4511,339,28,4,26-01-2024,594,2376
46,2940,271,53,2,06-05-2025,287,574
47,3700,100,82,3,22-05-2024,295,885
48,1074,82,29,4,05-09-2024,187,748
49,4814,191,76,1,29-09-2024,405,405
